drug_a,class_a,drug_b,class_b
hydroxyzine,the antihistamine,hydralazine,the antihypertensive
clonidine,the alpha-2 agonist for blood pressure,clonazepam,the benzodiazepine
clonidine,the alpha-2 agonist for blood pressure,klonopin,the benzodiazepine clonazepam
celecoxib,the COX-2 anti-inflammatory,citalopram,the SSRI antidepressant
celebrex,the anti-inflammatory celecoxib,celexa,the antidepressant citalopram
celebrex,the anti-inflammatory celecoxib,cerebyx,the anticonvulsant fosphenytoin
dopamine,the vasopressor,dobutamine,the inotrope
hydromorphone,the potent opioid,morphine,the opioid
lamotrigine,the anticonvulsant,lamivudine,the antiviral
lamictal,the anticonvulsant lamotrigine,lamisil,the antifungal terbinafine
metformin,the diabetes biguanide,metronidazole,the antibiotic
prednisone,the oral corticosteroid,prednisolone,the corticosteroid
vinblastine,the chemotherapy vinca alkaloid,vincristine,the chemotherapy vinca alkaloid
zolpidem,the sleep medication,zolmitriptan,the migraine triptan
oxycodone,the opioid,oxycontin,the extended-release oxycodone
oxycodone,the opioid,hydrocodone,the opioid
tramadol,the opioid analgesic,trazodone,the antidepressant used for sleep
quinine,the antimalarial,quinidine,the antiarrhythmic
carboplatin,the platinum chemotherapy,cisplatin,the platinum chemotherapy
cyclosporine,the immunosuppressant,cycloserine,the tuberculosis antibiotic
daptomycin,the gram-positive antibiotic,dactinomycin,the chemotherapy
diazepam,the benzodiazepine,diltiazem,the calcium channel blocker
doxorubicin,the anthracycline chemotherapy,daunorubicin,the anthracycline chemotherapy
doxorubicin,the anthracycline chemotherapy,idarubicin,the anthracycline chemotherapy
ephedrine,the vasopressor,epinephrine,adrenaline
fentanyl,the potent opioid,sufentanil,the potent opioid
fluoxetine,the SSRI antidepressant,fluvoxamine,the SSRI for OCD
fluoxetine,the SSRI antidepressant,duloxetine,the SNRI antidepressant
glipizide,the sulfonylurea,glyburide,the sulfonylurea
glyburide,the sulfonylurea,glimepiride,the sulfonylurea
guaifenesin,the expectorant,guanfacine,the ADHD and blood pressure medication
haloperidol,the antipsychotic,halothane,the anesthetic
heparin,the anticoagulant,hespan,the plasma expander hetastarch
hydrocodone,the opioid,hydrocortisone,the corticosteroid
hydroxyurea,the chemotherapy,hydroxyzine,the antihistamine
hydroxychloroquine,the antimalarial for lupus and arthritis,hydroxyzine,the antihistamine
ketorolac,the injectable NSAID,ketamine,the anesthetic
lansoprazole,the proton pump inhibitor,aripiprazole,the antipsychotic
leucovorin,the folinic acid rescue,leukeran,the chemotherapy chlorambucil
levetiracetam,the anticonvulsant,levofloxacin,the fluoroquinolone antibiotic
lisinopril,the ACE inhibitor,fosinopril,the ACE inhibitor
lorazepam,the benzodiazepine,alprazolam,the benzodiazepine
lorazepam,the benzodiazepine,clonazepam,the benzodiazepine
methadone,the long-acting opioid,methylphenidate,the ADHD stimulant
methotrexate,the immunosuppressant and chemotherapy,metolazone,the thiazide-like diuretic
metoprolol,the beta blocker,misoprostol,the prostaglandin
metoprolol tartrate,the immediate-release beta blocker,metoprolol succinate,the extended-release beta blocker
mifepristone,the abortifacient,misoprostol,the prostaglandin
morphine,the opioid,hydromorphone,the potent opioid
naloxone,the opioid reversal agent,naltrexone,the opioid antagonist for dependence
nifedipine,the calcium channel blocker,nicardipine,the calcium channel blocker
nifedipine,the calcium channel blocker,nimodipine,the calcium channel blocker for subarachnoid hemorrhage
olanzapine,the antipsychotic,oxcarbazepine,the anticonvulsant
oxcarbazepine,the anticonvulsant,carbamazepine,the anticonvulsant
paroxetine,the SSRI antidepressant,fluoxetine,the SSRI antidepressant
penicillin,the antibiotic,penicillamine,the chelating agent
phenobarbital,the barbiturate,pentobarbital,the barbiturate
propranolol,the beta blocker,propylthiouracil,the antithyroid drug
