term,ipa,respelling
apixaban,əˈpɪksəbæn,a-PIX-a-ban
rivaroxaban,ˌrɪvəˈrɒksəbæn,riv-a-ROX-a-ban
edoxaban,ɛˈdɒksəbæn,e-DOX-a-ban
dabigatran,dæˈbɪɡətræn,da-BIG-a-tran
warfarin,ˈwɔːrfərɪn,WAR-fa-rin
esomeprazole,ˌɛsoʊˈmɛprəzoʊl,es-oh-MEP-ra-zole
omeprazole,oʊˈmɛprəzoʊl,oh-MEP-ra-zole
pantoprazole,pænˈtoʊprəzoʊl,pan-TOE-pra-zole
tirzepatide,tɜːrˈzɛpətaɪd,tur-ZEP-a-tide
semaglutide,sɛˈmæɡluːtaɪd,sem-a-GLOO-tide
liraglutide,ˌlɪrəˈɡluːtaɪd,lir-a-GLOO-tide
dulaglutide,ˌduːləˈɡluːtaɪd,doo-la-GLOO-tide
empagliflozin,ˌɛmpəɡlɪˈfloʊzɪn,em-pa-gli-FLOE-zin
dapagliflozin,ˌdæpəɡlɪˈfloʊzɪn,dap-a-gli-FLOE-zin
canagliflozin,ˌkænəɡlɪˈfloʊzɪn,kan-a-gli-FLOE-zin
sitagliptin,ˌsɪtəˈɡlɪptɪn,sit-a-GLIP-tin
metformin,mɛtˈfɔːrmɪn,met-FOR-min
hydroxyzine,haɪˈdrɒksɪziːn,hy-DROX-i-zeen
hydralazine,haɪˈdræləziːn,hy-DRAL-a-zeen
hydroxychloroquine,haɪˌdrɒksiˈklɔːrəkwɪn,hy-drox-ee-KLOR-oh-kwin
clonidine,ˈklɒnɪdiːn,KLON-i-deen
clonazepam,kloʊˈnæzəpæm,kloe-NAZ-e-pam
celecoxib,ˌsɛlɪˈkɒksɪb,sel-e-KOX-ib
citalopram,saɪˈtæləpræm,sy-TAL-oh-pram
escitalopram,ˌɛssaɪˈtæləpræm,es-sy-TAL-oh-pram
sertraline,ˈsɜːrtrəliːn,SUR-tra-leen
fluoxetine,fluˈɒksətiːn,floo-OX-e-teen
duloxetine,duˈlɒksətiːn,doo-LOX-e-teen
venlafaxine,ˌvɛnləˈfæksiːn,ven-la-FAX-een
lamotrigine,ləˈmoʊtrɪdʒiːn,la-MOE-tri-jeen
levetiracetam,ˌlɛvɪtaɪˈræsɪtæm,lev-e-tye-RA-se-tam
metoprolol,mɛˈtoʊprəlɒl,me-TOE-pro-lol
carvedilol,ˈkɑːrvədɪlɒl,KAR-ve-dil-ol
bisoprolol,bɪˈsoʊprəlɒl,bis-OH-pro-lol
amlodipine,æmˈloʊdɪpiːn,am-LOE-di-peen
lisinopril,laɪˈsɪnəprɪl,ly-SIN-oh-pril
losartan,loʊˈsɑːrtæn,loe-SAR-tan
valsartan,vælˈsɑːrtæn,val-SAR-tan
sacubitril,səˈkjuːbɪtrɪl,sa-KYOO-bi-tril
spironolactone,ˌspaɪroʊnoʊˈlæktoʊn,speer-on-oh-LAK-tone
atorvastatin,əˌtɔːrvəˈstætɪn,a-tor-va-STAT-in
rosuvastatin,roʊˌsuːvəˈstætɪn,roe-soo-va-STAT-in
ezetimibe,ɛˈzɛtɪmaɪb,e-ZET-i-mibe
evolocumab,ˌiːvoʊˈlɒkjuːmæb,ee-voe-LOK-ue-mab
ticagrelor,taɪˈkæɡrəlɔːr,ty-KAG-re-lor
clopidogrel,kloʊˈpɪdəɡrɛl,kloe-PID-oh-grel
amiodarone,ˌæmiˈoʊdəroʊn,a-mee-OH-da-rone
digoxin,dɪˈdʒɒksɪn,di-JOX-in
ceftriaxone,ˌsɛftraɪˈæksoʊn,sef-try-AX-one
azithromycin,əˌzɪθroʊˈmaɪsɪn,a-zith-roe-MY-sin
amoxicillin,əˌmɒksɪˈsɪlɪn,a-mox-i-SIL-in
levofloxacin,ˌliːvoʊˈflɒksəsɪn,lee-voe-FLOX-a-sin
vancomycin,ˌvæŋkoʊˈmaɪsɪn,van-koe-MY-sin
piperacillin,ˌpɪpərəˈsɪlɪn,pi-per-a-SIL-in
tazobactam,ˌtæzoʊˈbæktæm,taz-oh-BAK-tam
metronidazole,ˌmɛtroʊˈnaɪdəzoʊl,me-troe-NYE-da-zole
nitrofurantoin,ˌnaɪtroʊfjʊˈræntoɪn,nye-troe-fyoor-AN-toin
prednisone,ˈprɛdnɪsoʊn,PRED-ni-sone
prednisolone,prɛdˈnɪsəloʊn,pred-NIS-oh-lone
dexamethasone,ˌdɛksəˈmɛθəsoʊn,dex-a-METH-a-sone
methotrexate,ˌmɛθəˈtrɛkseɪt,meth-oh-TREX-ate
adalimumab,ˌædəˈlɪmjuːmæb,a-da-LIM-ue-mab
infliximab,ɪnˈflɪksɪmæb,in-FLIX-i-mab
rituximab,rɪˈtʌksɪmæb,ri-TUX-i-mab
pembrolizumab,ˌpɛmbroʊˈlɪzuːmæb,pem-broe-LIZ-ue-mab
nivolumab,nɪˈvɒljuːmæb,ni-VOL-ue-mab
tamoxifen,təˈmɒksɪfɛn,ta-MOX-i-fen
letrozole,ˈlɛtrəzoʊl,LET-roe-zole
gabapentin,ˈɡæbəpɛntɪn,GAB-a-pen-tin
pregabalin,prɪˈɡæbəlɪn,pre-GAB-a-lin
tramadol,ˈtræmədɒl,TRAM-a-dol
buprenorphine,ˌbjuːprəˈnɔːrfiːn,byoo-pre-NOR-feen
